timestamp,value
1564977000000,851.72
1564977300000,901.64
1564977600000,1045.16
1564977900000,1023.16
1564978200000,934.56
1564978500000,891.88
1564978800000,900.16
1564979100000,898.28
1564979400000,956.4
1564979700000,871.64
1564980000000,894.72
1564980300000,896.48
1564980600000,912.68
1564980900000,838.28
1564981200000,973.0
1564981500000,965.04
1564981800000,1050.24
1564982100000,861.72
1564982400000,821.16
1564982700000,802.6
1564983000000,878.08
1564983300000,795.4
1564983600000,800.92
1564983900000,798.6
1564984200000,815.48
1564984500000,790.72
1564984800000,874.04
1564985100000,891.68
1564985400000,977.52
1564985700000,866.88
1564986000000,858.48
1564986300000,825.8
1564986600000,887.84
1564986900000,839.24
1564987200000,885.44
1564987500000,884.68
1564987800000,866.44
1564988100000,883.32
1564988400000,935.12
1564988700000,850.68
1564989000000,857.56
1564989300000,854.0
1564989600000,842.84
1564989900000,928.96
1564990200000,949.64
1564990500000,876.76
1564990800000,868.2
1564991100000,914.88
1564991400000,874.08
1564991700000,852.68
1564992000000,1045.28
1564992300000,926.64
1564992600000,958.88
1564992900000,925.6
1564993200000,894.48
1564993500000,882.2
1564993800000,882.76
1564994100000,802.88
1564994400000,847.92
1564994700000,830.68
1564995000000,824.24
1564995300000,807.56
1564995600000,881.84
1564995900000,812.6
1564996200000,830.92
1564996500000,807.28
1564996800000,811.48
1564997100000,768.24
1564997400000,797.84
1564997700000,747.48
1564998000000,732.2
1564998300000,708.36
1564998600000,694.2
1564998900000,671.76
1564999200000,784.56
1564999500000,734.76
1564999800000,741.32
1565000100000,714.12
1565000400000,683.8
1565000700000,668.04
1565001000000,715.04
1565001300000,641.84
1565001600000,626.36
1565001900000,605.8
1565002200000,619.08
1565002500000,624.56
1565002800000,661.04
1565003100000,627.68
1565003400000,657.6
1565003700000,686.56
1565004000000,587.84
1565004300000,614.48
1565004600000,589.56
1565004900000,557.32
1565005200000,572.76
1565005500000,580.88
1565005800000,575.84
1565006100000,610.76
1565006400000,684.76
1565006700000,624.96
1565007000000,617.8
1565007300000,666.6
1565007600000,587.0
1565007900000,573.52
1565008200000,596.36
1565008500000,585.8
1565008800000,592.52
1565009100000,592.08
1565009400000,553.68
1565009700000,542.8
1565010000000,643.92
1565010300000,590.36
1565010600000,561.36
1565010900000,564.2
1565011200000,591.04
1565011500000,562.8
1565011800000,565.44
1565012100000,605.28
1565012400000,494.84
1565012700000,544.8
1565013000000,494.72
1565013300000,518.16
1565013600000,578.56
1565013900000,610.12
1565014200000,549.0
1565014500000,537.96
1565014800000,533.44
1565015100000,522.52
1565015400000,475.32
1565015700000,483.0
1565016000000,490.88
1565016300000,476.92
1565016600000,438.52
1565016900000,464.84
1565017200000,514.88
1565017500000,459.6
1565017800000,456.4
1565018100000,509.12
1565018400000,463.4
1565018700000,431.88
1565019000000,465.68
1565019300000,435.6
1565019600000,353.56
1565019900000,367.84
1565020200000,343.6
1565020500000,326.72
1565020800000,404.88
1565021100000,538.08
1565021400000,446.8
1565021700000,418.2
1565022000000,330.76
1565022300000,234.2
1565022600000,302.64
1565022900000,322.0
1565023200000,323.28
1565023500000,310.24
1565023800000,281.2
1565024100000,235.12
1565024400000,389.04
1565024700000,366.8
1565025000000,285.08
1565025300000,350.28
1565025600000,294.68
1565025900000,269.84
1565026200000,319.32
1565026500000,284.72
1565026800000,241.92
1565027100000,314.6
1565027400000,213.56
1565027700000,201.52
1565028000000,382.76
1565028300000,325.72
1565028600000,247.44
1565028900000,289.2
1565029200000,209.36
1565029500000,203.2
1565029800000,245.12
1565030100000,244.88
1565030400000,192.04
1565030700000,232.64
1565031000000,247.24
1565031300000,197.72
1565031600000,294.2
1565031900000,280.8
1565032200000,185.0
1565032500000,285.2
1565032800000,218.4
1565033100000,177.68
1565033400000,242.48
1565033700000,219.04
1565034000000,172.28
1565034300000,278.76
1565034600000,191.16
1565034900000,201.28
1565035200000,299.0
1565035500000,281.2
1565035800000,230.16
1565036100000,323.04
1565036400000,254.12
1565036700000,242.24
1565037000000,308.48
1565037300000,258.36
1565037600000,226.64
1565037900000,280.68
1565038200000,233.28
1565038500000,224.88
1565038800000,367.76
1565039100000,343.32
1565039400000,291.32
1565039700000,470.04
1565040000000,525.8
1565040300000,297.4
1565040600000,400.8
1565040900000,363.24
1565041200000,371.76
1565041500000,609.04
1565041800000,576.16
1565042100000,565.0
1565042400000,771.28
1565042700000,799.84
1565043000000,662.0
1565043300000,636.4
1565043600000,591.28
1565043900000,608.24
1565044200000,662.6
1565044500000,588.68
1565044800000,679.72
1565045100000,745.44
1565045400000,661.0
1565045700000,682.6
1565046000000,681.36
1565046300000,644.4
1565046600000,597.84
1565046900000,636.04
1565047200000,523.88
1565047500000,565.8
1565047800000,601.48
1565048100000,575.84
1565048400000,564.76
1565048700000,652.4
1565049000000,625.0
1565049300000,587.68
1565049600000,692.04
1565049900000,684.88
1565050200000,667.24
1565050500000,694.32
1565050800000,714.8
1565051100000,707.64
1565051400000,758.4
